state,year,fent_gms,hydro_gms,oxy_gms
NM,2014,2619.400734885,194962.577796082,474732.306584271
NM,2015,2603.82739585,179120.145911502,476459.889721587
NM,2016,2271.841736058,162758.359316792,444779.99855579645
NV,2006,3792.728404705,652647.840609153,524074.747655444
NV,2007,4007.883953677,702907.543317558,628300.887717917
NV,2008,4504.28193098,715296.060555122,713263.23921027
NV,2009,4347.616138278,781668.164537288,778656.295792728
NV,2010,4671.03710416,864071.503186739,929256.055812406
NV,2011,4831.072897026,899810.970253895,1033169.55600786
NV,2012,4683.114889294,822828.213883921,1054795.872436193
NV,2013,4999.871757142,713146.250475457,858851.147982589
NV,2014,5170.2346017,599635.879390264,809098.734213808
NV,2015,4363.5173326,648562.833916453,812441.909937361
NV,2016,4488.178576468,434908.660116512,796548.921544562
NY,2006,150258.10909293802,62240623.14743716,58860075.20833194
NY,2007,129475.040817119,55227033.46112166,68327392.9412564
NY,2008,242902.646690138,66617537.47585745,88860267.44663529
NY,2009,151769.996638951,73136347.13870832,96695521.77647254
NY,2010,90033.631848478,56432107.16425666,82685238.22063176
NY,2011,181679.017897211,67432697.54962902,79710187.58681126
NY,2012,200872.748838748,72562268.19224916,81085436.46054895
NY,2013,294589.290249867,62083733.458345935,65635648.09655195
NY,2014,320053.74980148097,2424389588.859206,49559819.1240606
NY,2015,381854.975316153,52259940.2956253,54755211.00078592
NY,2016,375713.644185714,47350764.53763753,55442070.13726084
OH,2006,166609.201668222,8132956.57719679,24586827.494967178
OH,2007,251131.915805433,9494127.883372191,32901221.03760833
OH,2008,317143.339029914,9699873.23196838,36219570.17265785
OH,2009,326394.163244625,9369909.899337243,41983734.07413937
OH,2010,331287.998916346,9853755.485215152,41365988.74728207
OH,2011,310924.789733444,10035198.82552372,45295156.63011081
OH,2012,326744.712639335,13177513.201923266,69011064.97435956
OH,2013,301454.601085147,9454505.468513804,43977705.61314681
OH,2014,254840.375570559,12699011.255614623,32214603.29814125
OH,2015,258597.153435217,17811889.71207419,34735260.19512734
OH,2016,569527.455422705,15168649.614311429,37610385.905718185
OK,2006,14275.729372215,1145175.603160323,932030.927120577
OK,2007,14866.219374311,1273432.091025355,1045903.8800974848
OK,2008,16479.737375656,1432047.982223525,1222347.773436435
OK,2009,16485.056686216,1464863.202053922,1355981.40056981
OK,2010,16218.770576218,1453438.718438441,1475018.11054937
OK,2011,16978.45112918,1664233.265724983,1600384.851492341
OK,2012,17471.821905713,1609119.741050498,1622633.905804536
OK,2013,18973.786327581,1840082.902924777,1967202.585836569
OK,2014,21389.1724438,2026989.966403389,2282077.557521761
OK,2015,21169.88922015,1924116.2117620008,2362225.01738481
OK,2016,18109.603574496,1585559.205863409,1896651.498197778
OR,2006,10957.958010917,614714.471556927,1088946.730330383
OR,2007,11213.714679709,657207.551312512,1270900.629330717
OR,2008,12529.662609877,672818.89488164,1353180.0817523429
OR,2009,12478.557862872,737149.485516548,1406503.317639001
OR,2010,12852.631365859,782780.799229341,1481384.080840177
OR,2011,13326.70218242,857054.933425537,1554114.262522277
OR,2012,12098.04447154,769063.917554472,1483279.557522845
OR,2013,11543.700591809,754566.438222473,1468875.519634875
OR,2014,10637.511157246,853394.023770994,1437764.53287841
OR,2015,9653.697456043,753715.161777831,1422169.883316607
OR,2016,8715.366457751,797933.37088169,1392180.723966917
PA,2006,90363.911856081,4319096.941673007,14438216.83362096
PA,2007,148031.044309182,4573211.358471141,32454081.268567797
PA,2008,296952.461280277,4210647.912664921,14322308.009837275
PA,2009,275250.276637939,4738738.14268589,21430130.708980877
PA,2010,433885.59922277497,3949763.867166926,12482442.966953922
PA,2011,401580.67372975097,5276848.784158281,19092112.102429774
PA,2012,275540.173884745,8554007.46283326,23421749.072526887
PA,2013,210783.124434178,2122507147.080635,25327288.207491923
PA,2014,350532.084662574,6455636.756683668,38236540.5407868
PA,2015,339068.335396739,5730298.123092077,33166781.299720272
PA,2016,240446.559925274,3357066.874846436,33521418.660503365
RI,2006,2928.074765533,273166.50004905,7497030.44332383
RI,2007,1603.69734858,308964.11775482603,7996067.724555387
RI,2008,1490.187871445,462390.722979088,7711851.316302613
RI,2009,1429.378481194,518836.641083022,9240217.05852236
RI,2010,1525.641840393,531977.321451181,13808475.814937787
RI,2011,1427.160280931,737007.787581705,11853637.745417394
RI,2012,1363.832970577,467517.29396399,9056675.312996157
RI,2013,1270.232159963,868066.3205089149,2818432.999588788
RI,2014,1192.235707116,991997.835689352,5123940.164167056
RI,2015,1128.870750614,278844.303038236,5020578.621400909
RI,2016,1045.342626991,709065.0730410359,7857782.726760594
SC,2006,11827.646889738,1287519.368433461,934116.366729754
SC,2007,13416.128109445,1522076.631786244,1187458.072122931
SC,2008,15879.064225571,1856838.486904604,1416548.633838584
SC,2009,11894.94717449,2386487.726292946,1350485.441407662
SC,2010,10681.74420725,2272292.243994244,1284207.929042433
SC,2011,10977.3870084,2726183.736144485,1460752.879889229
SC,2012,10907.738649723,2541592.428255615,1588210.400136342
SC,2013,10518.729126119,2477263.7474487512,1439510.076617785
SC,2014,10133.73949802,1560946.768454994,1416565.2695814169
SC,2015,10077.68812367,1123225.711327621,1452583.176158811
SC,2016,9008.838335525,1242752.05582414,1441860.0880193976
SD,2006,1679.114818202,65419.55794134,92331.866860393
