,year,state,hydro_gms,oxy_gms,fent_gms,log_oxy,log_hydro,log_fent,gsp,unempl_rate,min_wage,medicaid_rate,log_gsp,log_unempl_rate,log_min_wage,log_medicaid_rate,snap_rate,poverty_rate,gov_dem,death_rate,log_death_rate,cluster_k3,cluster_k4,cluster_num,cluster_lab,risk_num
83,2015,CA,25568.894340871808,25568.91259111178,685.3633682053215,-0.1357395289645868,0.126578346107285,0.2569177643788604,2559643.2,6.2,9.0,0.2473557703116896,2.61115030410494,0.3580035077156787,1.6732673727013578,1.5616799504490042,0.1592376846852908,0.3852238498457216,1,11.3219,0.020972901509818,0,0,0,Moderate Risk,1
84,2016,CA,20871.570631353225,21524.939576273035,679.0505785969009,-0.2367502553853443,0.0050177761704733,0.2523261724706642,2671100.5,5.5,10.0,0.3231481398030904,2.651619132282083,-0.0084951317650376,2.193556262106565,2.8275099015935123,0.0991502471327607,0.3852238498457216,1,11.2218,0.0027381994969573,0,0,0,Moderate Risk,1
85,2000,CO,3763.405429245052,4568.716243910798,71.51623675010654,-1.146074767657414,-1.020771793099847,-0.8599700436192709,180693.3,2.8,5.15,0.0644728665025314,0.0942865312409413,-1.9320294523080863,-0.9804848813290687,-1.8405849134435823,-1.560801775292059,-0.8421532910505486,0,7.8839,-0.7103388911495417,2,2,2,Low Risk,0
86,2001,CO,4425.836034043979,6594.4414957497,69.50559314294028,-0.9307859291770044,-0.92369619135388,-0.8739428146635966,187546.2,3.8,5.15,0.0677874418141183,0.1296293987669614,-1.0949108705404391,-0.9804848813290687,-1.7738688726516196,-1.5886720050557304,-1.1714495971446703,0,8.9896,-0.4481074980108515,2,2,2,Low Risk,0
87,2002,CO,5037.015361194512,7441.615468623549,82.72765313426002,-0.859882902862514,-0.8462447419305382,-0.7885326417984316,191062.2,5.5,5.15,0.0734806607687589,0.147264533755005,-0.0084951317650376,-0.9804848813290687,-1.6597571899443468,-1.4784811463164982,-0.8421532910505486,0,9.7169,-0.2910032951401323,2,2,2,Low Risk,0
88,2003,CO,5663.6433774398665,8312.882170991792,96.1309920746028,-0.794928923672942,-0.7760369871807276,-0.7147436005578307,196768.6,6.0,5.15,0.0799146427741805,0.1752066306564572,0.2570580222114647,-0.9804848813290687,-1.5315242439066024,-1.341019833376273,-0.8720893188772872,0,10.7497,-0.0853255489064043,2,2,2,Low Risk,0
89,2004,CO,6268.835083091567,9153.581913319153,109.11930742054722,-0.7384101223434408,-0.7152469847147725,-0.6523775341378704,204374.6,5.5,5.15,0.086208935362588,0.2112161023448422,-0.0084951317650376,-0.9804848813290687,-1.4068125531979938,-1.1876670245663157,-0.7822812353970722,0,10.9393,-0.0495403778223329,2,2,2,Low Risk,0
90,2005,CO,6846.210659670528,9954.6226074551,121.56878577374928,-0.6891931487145654,-0.6624908385983312,-0.5991528529571378,220307.4,5.0,5.15,0.0885343082561581,0.2824915681657146,-0.2953143882876203,-0.9804848813290687,-1.3609216053256394,-1.182201438624134,-0.3631768458227358,0,12.6913,0.2565539889850624,2,2,2,Low Risk,0
91,2006,CO,13281.190608256527,30864.79802394813,7507.631785621542,-0.0252972508129031,-0.2656831519675608,1.4457626895846514,231256.3,4.3,5.15,0.0855022950273736,0.328543160036685,-0.7398356881704345,-0.9804848813290687,-1.4207774782349387,-1.178634850418322,-0.8720893188772872,0,12.8239,0.278100473978175,1,2,3,Acute High Risk (Fentanyl-Driven),3
92,2007,CO,13501.949295514323,55857.84266167021,7171.577594409463,0.3227410012512962,-0.2558111852035843,1.4230093832457182,246151.0,3.7,6.85,0.0843158055133904,0.3878072789549739,-1.1703521361959788,0.3518225491603081,-1.4442458450152968,-1.2023199528167958,-0.8421532910505486,1,14.7299,0.5668458193899679,1,1,3,Acute High Risk (Fentanyl-Driven),3
