year,state,hydro_gms,oxy_gms,fent_gms,log_oxy,log_hydro,log_fent,gsp,unempl_rate,min_wage,medicaid_rate,log_gsp,log_unempl_rate,log_min_wage,log_medicaid_rate,snap_rate,poverty_rate,gov_dem,death_rate,log_death_rate
2011,AZ,28430.070471436615,61367.80979317638,315.42816295151334,0.37793732767353616,0.19009972719562904,-0.1278569816210179,257881.1,9.5,7.35,0.1620761410756008,0.432008085628411,1.7099724004675827,0.6888988413946193,0.0419922655848194,1.3010304767567966,1.3731127681280852,0,16.8532,0.8499018998515006
2012,AZ,27374.43509812106,64993.60521499155,309.8781906316784,0.41161734312457904,0.1674401981456939,-0.13665011428109233,268068.2,8.3,7.65,0.2069579791114478,0.4687929645297841,1.275096672389036,0.8815859591306998,0.855185080712184,1.445915101747038,1.9119612690093748,0,17.6797,0.9510680070103791
2013,AZ,26047.24383719453,67381.13282630962,301.1256846832414,0.4327841299616511,0.13767840760169053,-0.15084133882887138,275007.5,7.7,7.8,0.2004066479675743,0.4930583562700765,1.0361196186867103,0.9754375812945083,0.7383882666910686,1.3581932546092166,2.2711936029302344,0,18.7376,1.0742167000131633
2014,AZ,22972.656276949925,62147.22345763734,292.78542637367923,0.38534220791554863,0.062457751680524386,-0.16475199256759346,284851.4,6.8,7.9,0.237734296543169,0.5264503070845679,0.6448227642382622,1.0371207411197394,1.3955132929679614,1.083895097996055,2.5705538811976174,0,18.1685,1.0088127341365274
2015,AZ,16595.478154325552,60009.401267501584,298.5225817744998,0.3648039833066562,-0.13227274419770763,-0.1551413792728593,298615.0,6.1,8.05,0.2544587766681758,0.5712531170442013,0.3078862185667247,1.1283579885132018,1.683531345021349,0.8878384211390388,1.3731127681280852,0,19.0161,1.105539239654261
2016,AZ,14932.608926510404,57025.95529343883,290.9490198976175,0.3348841698735271,-0.1955002471544668,-0.1678679436869446,313056.5,5.4,8.05,0.2726761802787811,0.6160949472578249,-0.06405171380084468,1.1283579885132018,1.9929224440872952,0.7100067661506217,1.0438164620339645,0,20.2697,1.2413374417607193
2000,AR,6541.975013091943,4466.238497793072,55.51470038153663,-1.1593822894344017,-0.6897095910060278,-0.9838583596790768,68740.4,4.3,5.15,0.1463524812326494,-0.8233308360546363,-0.7398356881704345,-0.9804848813290687,-0.25034632793558226,-0.31724951268590496,1.1635605733409173,0,5.3887,-1.4474010900409577
2001,AR,7538.410095813932,5729.514844676213,55.139916427989455,-1.0132650668444096,-0.6048171304629196,-0.9871647548532405,70680.3,5.0,5.15,0.1643560582277042,-0.7969077305821748,-0.29531438828762036,-0.9804848813290687,0.08405243831855488,-0.24570223752791853,1.5527289350885154,0,4.846,-1.6458523203787887
2002,AR,8659.196275435368,7037.9397707329135,72.94875286731681,-0.8926019791566853,-0.5218162575005543,-0.8502492728215156,73986.5,5.5,5.15,0.1818818467756151,-0.7535027221995405,-0.008495131765037696,-0.9804848813290687,0.4046467744791463,-0.031554311138493905,2.1514494916232816,0,6.8274,-0.9933745102308555
2003,AR,9751.902513784418,8318.692528229429,90.41894938961016,-0.7945190138074711,-0.450652789381258,-0.7448611143167719,78306.3,5.9,5.15,0.2075365822866571,-0.6996255176916252,0.20549845984455764,-0.9804848813290687,0.8654699040587855,0.16781098878131012,1.5527289350885154,0,7.0314,-0.9358588618174806
2004,AR,10806.007304106724,9560.968688788465,107.41444659499302,-0.7128642449341275,-0.38918982365902915,-0.6601310803349443,84557.0,5.7,5.15,0.2110400969419781,-0.626709416031518,0.10009886840746175,-0.9804848813290687,0.9276407287832086,0.436274287506511,0.7444561837665811,0,8.6534,-0.5246379933599938
2005,AR,11813.365013877617,10755.618016919221,123.81337292442514,-0.6437895056008845,-0.3358167696320714,-0.590135040928332,89643.1,5.2,5.15,0.2204766680198497,-0.5712513227939551,-0.17781770586708193,-0.9804848813290687,1.0942048181203765,0.6228020467429319,0.35528782201898346,0,10.0735,-0.2178292389169136
2006,AR,45278.90997750582,70937.40122997283,694.7573802610143,0.4629610356362551,0.4688071250302923,0.2636728829565941,94451.6,5.2,5.15,0.2237737356211245,-0.5216409621470641,-0.17781770586708193,-0.9804848813290687,1.1520976330430777,0.6673349188034593,1.5227929072617767,0,10.4539,-0.14232472080361966
2007,AR,53456.82285687783,70637.00681704297,939.847372412125,0.46047118827243944,0.5682389325677565,0.4136349810025605,96991.9,5.3,6.25,0.2175525248802064,-0.49644242599565097,-0.12048323852483087,-0.0822259753511339,1.0427291275221269,0.5988382190387829,0.35528782201898346,1,10.8886,-0.05905354360072407
2008,AR,65373.72432735854,72636.55647008377,953.045357088091,0.47684913211737134,0.688759217792191,0.420557293099939,99014.4,5.5,6.25,0.2148990765176093,-0.4768476881133119,-0.008495131765037696,-0.0822259753511339,0.9959115592945524,0.5576070302771231,0.8043282394200579,1,13.0512,0.3145586423734914
2009,AR,65250.39364896382,88139.39802512841,754.3258317461803,0.5903521309414654,0.6876283516647042,0.30449441402974936,96983.7,7.8,6.25,0.2180290751000313,-0.4965226995045426,1.0770723817107175,-0.0822259753511339,1.0511265932972076,0.7901351002297662,1.8820252411826361,1,12.5975,0.24118581284827195
2010,AR,68996.46966227442,77914.11185418475,662.7391901056545,0.5180013682077347,0.7210592996488753,0.24026187339372274,100970.8,8.2,6.25,0.2214866439148463,-0.4582705296799288,1.2363576165841514,-0.0822259753511339,1.1119554634170026,1.1843263550277314,0.8642002950735344,1,12.5146,0.2275149808796745
