state_name,state_abbr,year,poverty_rate,unempl_rate,gsp,min_wage,snap_rate,medicaid_rate,aca_exp,gov_dem
Montana,MT,2001,13.3,4.5,22793.3,5.15,0.06831274994183874,0.08299805614574386,0.0,0
Nebraska,NE,2001,9.4,3.1,59598.4,5.15,0.04689516907426057,0.11735886444986615,0.0,0
Nevada,NV,2001,7.1,5.2,80380.2,5.15,0.03327536850713329,0.05173801550610727,0.0,0
New Hampshire,NH,2001,6.5,3.4,46625.8,5.15,0.0283182147274788,0.06619663453382152,0.0,1
New Jersey,NJ,2001,8.1,4.3,373600.0,5.15,0.037394478132969006,0.09173733446167878,0.0,0
New Mexico,NM,2001,18.0,4.9,55970.3,4.25,0.08912261354268462,0.1821088721344769,0.0,0
New York,NY,2001,14.2,4.8,873780.7,5.15,0.07092980614309045,0.15054710415714895,0.0,0
North Carolina,NC,2001,12.5,5.5,288184.8,5.15,0.060129678949959575,0.12866203449839114,0.0,1
North Dakota,ND,2001,13.8,2.9,18960.6,5.15,0.059078774829359276,0.07295066832326128,0.0,0
Ohio,OH,2001,10.5,4.3,395710.0,4.25,0.05624662126679619,0.11039864748804908,0.0,0
Oklahoma,OK,2001,15.1,3.7,96759.9,5.15,0.07816359493524848,0.13370338323094227,0.0,0
Oregon,OR,2001,11.8,6.4,117295.4,6.5,0.08180800285587657,0.12156333866503342,0.0,1
Pennsylvania,PA,2001,9.6,4.8,424772.9,5.15,0.0608241177919777,0.11092359766712172,0.0,0
Rhode Island,RI,2001,9.6,4.6,35981.9,6.15,0.06741951412393037,0.1557860722589775,0.0,0
South Carolina,SC,2001,15.1,5.2,119290.0,5.15,0.0776675002060273,0.18570379545362295,0.0,1
South Dakota,SD,2001,8.4,3.1,23406.1,5.15,0.058833307826674335,0.11069406257750945,0.0,0
Tennessee,TN,2001,14.1,4.6,185855.0,5.15,0.09068494775238667,0.2532918526483931,0.0,0
Texas,TX,2001,14.9,5.0,772909.2,5.15,0.06382111277582689,0.0951009825596345,0.0,0
Utah,UT,2001,10.5,4.4,73392.0,5.15,0.034906282088614383,0.06064110451610643,0.0,0
Vermont,VT,2001,9.7,3.3,19271.8,6.25,0.06349647105711481,0.20343567621601932,0.0,1
Virginia,VA,2001,8.0,3.2,284396.6,5.15,0.04616494696988009,0.0730174448020258,0.0,0
Washington,WA,2001,10.7,6.3,239763.4,6.72,0.0515541817678803,0.13188300425579405,0.0,1
West Virginia,WV,2001,16.4,5.0,43982.8,5.15,0.12287723267689196,0.14454718090282384,0.0,1
Wisconsin,WI,2001,7.9,4.5,187974.0,5.15,0.03990985484114089,0.09829003474306133,0.0,0
Wyoming,WY,2001,8.7,3.8,18691.2,5.15,0.045564906591840405,0.08293827844344667,0.0,0
Alabama,AL,2002,14.5,5.9,128117.4,5.15,0.09900405996398733,0.16452597258670532,0.0,1
Alaska,AK,2002,8.8,7.3,29633.4,7.15,0.0718703733398512,0.1437640989075828,0.0,1
Arizona,AZ,2002,13.5,6.1,179475.6,5.15,0.07018237648146725,0.14898406394805286,0.0,0
Arkansas,AR,2002,19.8,5.5,73986.5,5.15,0.1049211601052061,0.18188184677561517,0.0,0
California,CA,2002,13.1,6.7,1439341.7,6.75,0.0490454720159184,0.21435230710347028,0.0,1
Colorado,CO,2002,9.8,5.5,191062.2,5.15,0.03974918971692092,0.07348066076875899,0.0,0
Connecticut,CT,2002,8.3,4.3,176191.6,6.7,0.04874334622142283,0.11783046413602144,0.0,0
Delaware,DE,2002,9.1,4.0,45828.2,6.15,0.04915594620978976,0.14301715893317654,0.0,1
District of Columbia,DC,2002,17.0,6.4,70072.6,6.15,0.1295820698655519,0.2264785626301997,0.0,.
Florida,FL,2002,12.6,5.6,548397.8,5.15,0.05902739288541149,0.12415621440473787,0.0,0
Georgia,GA,2002,11.2,5.0,326670.1,5.15,0.07588311870258722,0.12784993775457626,0.0,1
Hawaii,HI,2002,11.3,4.2,45449.9,5.75,0.08580903878871873,0.1279431564528607,0.0,1
Idaho,ID,2002,11.3,5.6,38820.0,5.15,0.05222281575562605,0.11354907443605208,0.0,0
Illinois,IL,2002,12.8,6.5,513611.5,5.15,0.0707628467750254,0.13144997315887613,0.0,0
Indiana,IN,2002,9.1,5.2,212438.6,5.15,0.06674564694710027,0.11747398905809599,0.0,1
Iowa,IA,2002,9.2,4.0,99123.2,5.15,0.04796106922624439,0.09236959288182196,0.0,1
Kansas,KS,2002,10.1,5.1,91049.7,2.65,0.05174173172632746,0.07930393379853218,0.0,0
Kentucky,KY,2002,14.2,5.7,122215.8,5.15,0.11005275222347871,0.15178703505608362,0.0,1
Louisiana,LA,2002,17.5,6.1,139566.7,5.15,0.13084791274345065,0.18406000800041447,0.0,0
Maine,ME,2002,13.4,4.3,40185.5,5.75,0.08576422111793573,0.23726812555943086,0.0,0
Maryland,MD,2002,7.4,4.4,218326.8,5.15,0.041969241537691514,0.11501953261062765,0.0,1
Massachusetts,MA,2002,10.0,5.3,303990.3,6.75,0.037795576454924464,0.15613321436151498,0.0,0
Michigan,MI,2002,11.6,6.3,362311.0,5.15,0.07488605400915162,0.12250384645721571,0.0,0
Minnesota,MN,2002,6.5,4.5,202853.9,5.15,0.043228294448921935,0.10350403023749062,0.0,0
Mississippi,MS,2002,18.4,6.6,69042.5,5.15,0.11363702350839426,0.20367645078272112,0.0,1
Missouri,MO,2002,9.9,5.4,196764.8,5.15,0.09075275449022657,0.16606591392686118,0.0,1
Montana,MT,2002,13.5,4.4,23868.0,5.15,0.06948480091963403,0.08674877998216454,0.0,0
Nebraska,NE,2002,10.6,3.6,61622.3,5.15,0.051182901963325644,0.12527281269600277,0.0,0
Nevada,NV,2002,8.9,5.6,84786.0,5.15,0.044638606011341474,0.06549847708450353,0.0,0
New Hampshire,NH,2002,5.8,4.5,48691.9,5.15,0.032348401097164976,0.06918900092901285,0.0,1
New Jersey,NJ,2002,7.9,5.8,388278.1,5.15,0.03739183314444435,0.09581763204660829,0.0,1
New Mexico,NM,2002,17.9,5.5,58033.8,4.25,0.09187526174885154,0.20520678765639577,0.0,0
New York,NY,2002,14.0,6.1,884104.3,5.15,0.07036566376490505,0.175795389229692,0.0,0
North Carolina,NC,2002,14.3,6.6,297906.7,5.15,0.06898332144515848,0.1326710705158331,0.0,1
North Dakota,ND,2002,11.6,3.7,20229.1,5.15,0.057635293527723105,0.08486793446239861,0.0,0
Ohio,OH,2002,9.8,5.7,411148.4,4.25,0.06440095972182057,0.12366319482947283,0.0,0
Oklahoma,OK,2002,14.1,4.7,99151.0,5.15,0.09076432755912733,0.14208415972118724,0.0,0
Oregon,OR,2002,10.9,7.5,121200.6,6.5,0.10221880422061215,0.12902997190205337,0.0,1
Pennsylvania,PA,2002,9.5,5.6,436474.1,5.15,0.06216957852104986,0.11523537650663598,0.0,1
Rhode Island,RI,2002,11.0,5.0,38110.6,6.15,0.06747967861012481,0.16207674520049345,0.0,0
South Carolina,SC,2002,14.3,5.8,124178.0,5.15,0.092339077290858,0.19332001718683625,0.0,1
South Dakota,SD,2002,11.5,3.2,26164.5,5.15,0.06271282334675403,0.1184429357122181,0.0,0
Tennessee,TN,2002,14.8,5.2,195331.6,5.15,0.10317813330002254,0.2498115052697433,0.0,0
Texas,TX,2002,15.6,6.4,787719.8,5.15,0.07166457856210084,0.10938660439619968,0.0,0
Utah,UT,2002,9.9,5.8,76159.1,5.15,0.03866931347225478,0.06603923322931073,0.0,0
Vermont,VT,2002,9.9,4.0,20161.5,6.25,0.06485420234563127,0.20799197974788852,0.0,1
Virginia,VA,2002,9.9,4.2,293399.4,5.15,0.04832964702417621,0.07496480314669955,0.0,1
Washington,WA,2002,11.0,7.4,248152.7,6.9,0.05789041577080238,0.14669510961776988,0.0,1
West Virginia,WV,2002,16.8,5.9,45433.6,5.15,0.13057171374543455,0.15349221840530758,0.0,1
Wisconsin,WI,2002,8.6,5.4,194844.9,5.15,0.04817303874522007,0.11051700573830493,0.0,0
Wyoming,WY,2002,9.0,4.0,19149.7,5.15,0.04705840001439951,0.10107256353283989,0.0,0
Alabama,AL,2003,15.0,6.0,133969.3,5.15,0.10482223679363409,0.16606206163174303,0.0,0
Alaska,AK,2003,9.6,7.8,31789.7,7.15,0.07817073659729741,0.14971144978362588,0.0,0
Arizona,AZ,2003,13.5,5.7,192764.8,5.15,0.0845956818823584,0.17570635987023725,0.0,1
Arkansas,AR,2003,17.8,5.9,78306.3,5.15,0.11390090193246076,0.20753658228665717,0.0,0
California,CA,2003,13.1,6.8,1530559.8,6.75,0.0484596004573661,0.22402817858110247,0.0,1
Colorado,CO,2003,9.7,6.0,196768.6,5.15,0.04594067390165724,0.0799146427741805,0.0,0
Connecticut,CT,2003,8.1,5.4,181230.3,6.9,0.05180671439264181,0.12333569437620252,0.0,0
Delaware,DE,2003,7.3,4.3,47731.3,6.15,0.05626751980127212,0.15223416051041377,0.0,1
District of Columbia,DC,2003,16.8,6.8,74178.3,6.15,0.14384645964306195,0.23730963127658303,0.0,.
Florida,FL,2003,12.7,5.2,583447.2,5.15,0.0612391081319577,0.12732481636030402,0.0,0
Georgia,GA,2003,11.9,4.8,340627.0,5.15,0.08700290033635273,0.14638679137954488,0.0,0
Hawaii,HI,2003,9.3,4.1,48922.8,6.25,0.08023153025127203,0.1380037948965515,0.0,0
Idaho,ID,2003,10.2,5.6,40417.7,5.15,0.05979550822221244,0.11961888835100999,0.0,0
Illinois,IL,2003,12.6,6.8,530142.9,5.15,0.07597392036926393,0.1431319003829721,0.0,1
Indiana,IN,2003,9.9,5.3,223500.2,5.15,0.07587695134038813,0.11978624538015614,0.0,1
Iowa,IA,2003,8.9,4.5,105020.4,5.15,0.05228281858695397,0.09890010159758722,0.0,1
Kansas,KS,2003,10.8,5.5,94630.2,2.65,0.05901754092171734,0.09046038860023708,0.0,1
Kentucky,KY,2003,14.4,6.1,127174.2,5.15,0.12209284532822302,0.15972063334766357,0.0,1
Louisiana,LA,2003,17.0,6.4,154449.3,5.15,0.1449444619182923,0.19979044653865194,0.0,0
Maine,ME,2003,11.6,5.0,41842.2,6.25,0.10147775031706535,0.18426223083888182,0.0,1
Maryland,MD,2003,8.6,4.4,228734.3,5.15,0.04590277513709755,0.12307967459380172,0.0,0
Massachusetts,MA,2003,10.3,5.7,315958.1,6.75,0.04549584161468198,0.14626648387365485,0.0,0
